location	lat	lon	COI-A	COI-B	COI-C	EF1-A	EF1-B	EF1-C
"Juneau Harbor, AK"	58.3	134.4166667	27	6	1	0	0	0
Vancouver Island	48.5	124.5	16	9	4	9	5	0
"Westport Jetty, WA"	46.93333333	123.85	22	7	8	5	5	0
C. Meares	45.46666667	123.9666667	23	5	9	6	4	0
Heceta Head	44.15	124.1333333	20	12	5	8	2	0
C. Blanco	42.83333333	124.5666667	20	5	9	6	6	0
Trinidad Head	41.11666667	124.2666667	14	5	3	0	0	0
C. Mendocino	40.7	124.6666667	14	6	3	15	12	1
Ft. Bragg	39.71666667	124.3333333	14	5	15	0	0	0
Bodgea	39.31666667	123.5	12	6	19	12	4	4
Pillar Point	37.5	122.5	6	2	22	0	0	0
Pacific Grove	36.61666667	121.9	2	1	64	14	2	34
Pt. San Luis	35	121	1	0	41	13	1	60
